Height,Weight
187.5714232,109.7209851
174.7060363,73.62273185
188.2396677,96.49755015
182.1966851,99.80950419
177.4997615,93.59861876
170.8226598,69.04221615
174.7141064,83.42821885
173.6052294,76.19035195
170.2281321,79.80018673
161.1794947,70.94164201
180.836271,84.64250139
181.967645,96.95128455
164.506476,75.80767932
175.978998,85.93127231
175.8790799,84.56504714
171.819874,78.10261398
183.9425242,88.91696224
162.4947873,78.41855902
176.8857521,84.36083528
172.5574523,82.74726813
172.5042275,78.9775925
176.3761773,89.68939099
168.0187952,67.66393615
191.023173,103.7645136
172.4487187,73.48492123
173.0858433,87.24568902
175.4876638,83.65831963
184.9141425,93.8156121
171.2499554,79.47563349
173.980895,70.00858628
174.2900008,85.051604
188.0458714,96.57437493
181.6816687,88.46506527
175.7176092,93.06964917
176.726094,92.60721401
178.8183594,87.49949121
175.4534748,89.57908694
170.6715491,83.37518697
167.1505818,74.32187695
163.3326372,73.98449171
172.654814,78.0793299
183.3611419,88.0174433
165.7866776,76.48366074
167.8690505,73.11605148
171.4762166,74.68858448
178.0661571,85.69364533
173.3596646,84.84916998
183.3186812,94.83287107
175.7168384,87.09616643
185.0907148,95.86326582
155.2212405,55.96703687
162.8324412,62.92715366
160.0814808,60.78501852
155.6470074,60.11646591
151.6355217,50.41595975
165.8401152,64.31983797
159.6886983,63.63806996
159.7754468,65.34914825
159.9410808,57.23650499
172.5812164,73.15615079
165.6481124,68.33211508
169.6051339,73.52753342
167.0165509,69.0750888
156.6456834,63.51412563
159.3303768,54.61357183
165.5258917,61.55915836
157.0380586,57.57546349
164.6085374,70.80370536
162.5558122,70.57802516
173.2340569,74.21257138
166.6715917,68.71936458
164.1862281,70.45113712
154.0604822,55.83005064
154.2720578,54.85129299
166.1006241,64.87174599
168.2798846,56.25444212
156.1487969,55.06027903
163.8168874,67.76779995
145.7344267,51.7966723
157.6222702,56.76064174
153.5995454,50.24358232
153.5258903,61.4886549
177.4660192,80.7357771
167.2100433,60.24966772
149.9794525,50.66956891
172.8243054,77.34388273
160.9158518,64.36765762
166.6500179,68.56926453
151.2283704,54.99570558
154.825914,43.40270998
160.4759256,64.07717264
159.0971543,46.65355345
157.6776925,62.90943664
152.4773018,44.31023777
150.1095551,50.13538119
168.0785365,62.041159
170.3505728,77.50431517
162.2247002,58.2753768
175.3469776,74.32216565
157.3383845,51.55032378
